0x0000  DEVICE_ID
0x0001  REVISION_ID
0x0003  SYSTEM
0x0004  OSC_ON
0x0005  OSC_SEL
0x0006  OSC_EN
0x0007  PLUG_DET
0x0008  MICBIAS
0x0009  TRIM0
0x000a  TRIM1
0x000b  RSV
0x000c  AD8CTRL0
0x000d  AD8CTRL1
0x000e  AD8L_CAPTURED
0x000f  AD8R_CAPTURED
0x0010  BLK_FREQ0
0x0011  BLK_FREQ1
0x0012  BLK_ON0
0x0013  BLK_ON1
0x0014  CLK_EN0
0x0015  CLK_EN1
0x0016  CLK_EN2
0x0017  CLK_HALT
0x0018  SW_XRST0
0x0019  SW_XRST1
0x001a  SD_ENABLE
0x001b  SD1_MODE
0x001c  SD1_MASK
0x001d  SD1_MISC
0x001e  SD2_MODE
0x001f  SD2_MASK
0x0020  SD2_MISC
0x0021  DSD_ENABLE
0x0022  CLK_OUTPUT
0x0023  I2S_INT_EN
0x0024  CODEC_DATA_SEL
0x0025  CODEC_PLAYVOL
0x0026  CODEC_RECVOL
0x0027  CODEC_AINVOL
0x0028  CODEC_SDIN1VOL
0x0029  CODEC_SDIN2VOL
0x002a  CODEC_SR_PLAY1
0x002b  CODEC_SR_PLAY2
0x002c  CODEC_SR_PLAY3
0x002d  CODEC_SR_REC1
0x002e  CODEC_SR_REC2
0x002f  CODEC_SR_REC3
0x0030  CODEC_EN
0x0036  CODEC_CS_VOL
0x0037  MIC1L_VOL
0x0038  MIC1R_VOL
0x0039  MIC1_REG0
0x003a  MIC1_REG1
0x003b  MIC2L_VOL
0x003c  MIC2R_VOL
0x003d  MIC2_REG0
0x003e  MIC2_REG1
0x003f  NS_DAC
0x0040  BEEP0
0x0041  BEEP1
0x0042  HPRM_CTRL0
0x0043  HPRM_CTRL1
0x0044  HPRM_MEAS
0x0045  HPRM_DATA2
0x0046  HPRM_DATA1
0x0047  HPRM_DATA0
0x0048  PHV_SEL
0x0049  PHV_L
0x004b  PHV_R
0x004c  PHV_CTRL0
0x004d  PHV_CTRL1
0x004e  PHV_TEST1
0x004f  PHV_TEST0
0x0051  CPCTL1
0x0052  CPCTL2
0x0053  CPCTL3
0x0054  DITH_LEV1
0x0055  DITH_LEV2
0x0056  DITH
0x0059  PGA1_VOLL
0x005a  PGA1_VOLR
0x005b  PGA2_VOLL
0x005c  PGA2_VOLR
0x005d  AD8_CTRL3
0x005e  AIN1_RSV
0x005f  AIN2_RSV
0x0060  AIN_PREAMP
0x0061  DAC_RSV
0x0062  LINEOUT_VOL
0x0063  DAMP_REF
0x0064  DAMP_VOL_CTRL1
0x0065  DAMP_VOL_CTRL2
0x0066  DAMP_VOL_CTRL3
0x0067  HPOUT2_CTRL1
0x0068  HPOUT2_CTRL2
0x0069  HPOUT2_CTRL3
0x006a  HPOUT2_CTRL4
0x006b  HPOUT3_CTRL1
0x006c  HPOUT3_CTRL2
0x006d  HPOUT3_CTRL3
0x006e  HPOUT3_CTRL4
0x006f  HPOUT3_CTRL5
0x0070  MEM_CTRL
0x0071  MEM_ADDR
0x0075  MEM_RDAT
0x007c  MEM_INIT
0x007d  MEM_ISTA
0x007e  ANALOG_RSV
0x007f  HPCLK_CTRL
0x0080  DNC_INTIM
0x0081  DNC_INTP
0x0082  DNC1_LIMITA
0x0083  DNC1_LIMITR
0x0084  DNC1_LIMITY
0x0085  DNC2_LIMITA
0x0086  DNC2_LIMITR
0x0087  DNC2_LIMITY
0x0088  DNC1_START
0x0089  DNC2_START
0x008a  DNC1_IKMD
0x008b  DNC2_IKMD
0x008c  DNC1_PTLEN
0x008d  DNC2_PTLEN
0x008e  DNC1_MONIEN
0x008f  DNC2_MONIEN
0x0090  DNC1_CANVOL0_H
0x0091  DNC1_CANVOL0_L
0x0092  DNC1_CANVOL1_H
