0x00000000: CHR_CON0
0x00000002: CHR_CON1
0x00000004: CHR_CON2
0x00000006: CHR_CON3
0x00000008: CHR_CON4
0x0000000A: CHR_CON5
0x0000000C: CHR_CON6
0x0000000E: CHR_CON7
0x00000010: CHR_CON8
0x00000012: CHR_CON9
0x00000014: CHR_CON10
0x00000016: CHR_CON11
0x00000018: CHR_CON12
0x0000001A: CHR_CON13
0x0000001C: CHR_CON14
0x0000001E: CHR_CON15
0x00000020: CHR_CON16
0x00000022: CHR_CON17
0x00000024: CHR_CON18
0x00000026: CHR_CON19
0x00000028: CHR_CON20
0x0000002A: CHR_CON21
0x0000002C: CHR_CON22
0x0000002E: CHR_CON23
0x00000030: CHR_CON24
0x00000032: CHR_CON25
0x00000034: CHR_CON26
0x00000036: CHR_CON27
0x00000038: CHR_CON28
0x0000003A: CHR_CON29
0x0000003C: STRUP_CON0
0x0000003E: STRUP_CON2
0x00000040: STRUP_CON3
0x00000042: STRUP_CON4
0x00000044: STRUP_CON5
0x00000046: STRUP_CON6
0x00000048: STRUP_CON7
0x0000004A: STRUP_CON8
0x0000004C: STRUP_CON9
0x0000004E: STRUP_CON10
0x00000050: STRUP_CON11
0x00000052: SPK_CON0
0x00000054: SPK_CON1
0x00000056: SPK_CON2
0x0000005E: SPK_CON6
0x00000060: SPK_CON7
0x00000062: SPK_CON8
0x00000064: SPK_CON9
0x00000066: SPK_CON10
0x00000068: SPK_CON11
0x0000006A: SPK_CON12
0x00000100: CID
0x00000102: TOP_CKPDN0
0x00000104: TOP_CKPDN0_SET
0x00000106: TOP_CKPDN0_CLR
0x00000108: TOP_CKPDN1
0x0000010A: TOP_CKPDN1_SET
0x0000010C: TOP_CKPDN1_CLR
0x0000010E: TOP_CKPDN2
0x00000110: TOP_CKPDN2_SET
0x00000112: TOP_CKPDN2_CLR
0x00000114: TOP_RST_CON
0x00000116: TOP_RST_CON_SET
0x00000118: TOP_RST_CON_CLR
0x0000011A: TOP_RST_MISC
0x0000011C: TOP_RST_MISC_SET
0x0000011E: TOP_RST_MISC_CLR
0x00000120: TOP_CKCON0
0x00000122: TOP_CKCON0_SET
0x00000124: TOP_CKCON0_CLR
0x00000126: TOP_CKCON1
0x00000128: TOP_CKCON1_SET
0x0000012A: TOP_CKCON1_CLR
0x0000012C: TOP_CKTST0
0x0000012E: TOP_CKTST1
0x00000130: TOP_CKTST2
0x00000132: TEST_OUT
0x00000134: TEST_CON0
0x00000136: TEST_CON1
0x00000138: EN_STATUS0
0x0000013A: EN_STATUS1
0x0000013C: OCSTATUS0
0x0000013E: OCSTATUS1
0x00000140: PGSTATUS
0x00000142: CHRSTATUS
0x00000144: TDSEL_CON
0x00000146: RDSEL_CON
0x00000148: SMT_CON0
0x0000014A: SMT_CON1
0x0000014C: SMT_CON2
0x0000014E: SMT_CON3
0x00000150: SMT_CON4
0x00000152: DRV_CON0
0x00000154: DRV_CON1
0x00000156: DRV_CON2
0x00000158: DRV_CON3
0x0000015A: DRV_CON4
0x0000015C: SIMLS1_CON
0x0000015E: SIMLS2_CON
0x00000160: INT_CON0
0x00000162: INT_CON0_SET
0x00000164: INT_CON0_CLR
0x00000166: INT_CON1
0x00000168: INT_CON1_SET
0x0000016A: INT_CON1_CLR
0x0000016C: INT_MISC_CON
0x0000016E: INT_MISC_CON_SET
0x00000170: INT_MISC_CON_CLR
0x00000172: INT_STATUS0
0x00000174: INT_STATUS1
0x00000176: OC_GEAR_0
0x00000178: OC_GEAR_1
0x0000017A: OC_GEAR_2
0x0000017C: OC_CTL_VPROC
0x0000017E: OC_CTL_VSYS
0x00000180: OC_CTL_VPA
0x00000182: FQMTR_CON0
0x00000184: FQMTR_CON1
0x00000186: FQMTR_CON2
0x00000188: RG_SPI_CON
0x0000018A: DEW_DIO_EN
0x0000018C: DEW_READ_TEST
0x0000018E: DEW_WRITE_TEST
