=== pmtest armed  date=Fri Sep  4 14:58:17 UTC 2026  uptime=2599s  dry=no ===
pre  dpidle_cnt[0]=0, slidle_cnt[0]=588558, rgidle_cnt[0]=61162
pre  [4]dpidle_block_cnt[by_vtg]=675122
pre  resume_count=0  pwake=30
sleeping 30s before arming — unplug NOW
--- writing mem to /sys/power/state at uptime=2629s ---
t=0 up=2629 rc=0 r12=0x00000000
t=1 up=2631 rc=0 r12=0x00000000
*** SUSPEND RETURNED: gap=30s at uptime=2661s  rc=1 r12=0x00000001 timer_out=0x000f00a4
t=2 up=2661 rc=1 r12=0x00000001
t=3 up=2662 rc=1 r12=0x00000001
t=4 up=2664 rc=1 r12=0x00000001
t=5 up=2665 rc=1 r12=0x00000001
t=6 up=2666 rc=1 r12=0x00000001
t=7 up=2667 rc=1 r12=0x00000001
t=8 up=2668 rc=1 r12=0x00000001
t=9 up=2669 rc=1 r12=0x00000001
t=10 up=2670 rc=1 r12=0x00000001
t=11 up=2672 rc=1 r12=0x00000001
t=12 up=2673 rc=1 r12=0x00000001
t=13 up=2674 rc=1 r12=0x00000001
t=14 up=2675 rc=1 r12=0x00000001
t=15 up=2676 rc=1 r12=0x00000001
t=16 up=2677 rc=1 r12=0x00000001
t=17 up=2678 rc=1 r12=0x00000001
t=18 up=2680 rc=1 r12=0x00000001
*** SUSPEND RETURNED: gap=32s at uptime=2712s  rc=2 r12=0x00000001 timer_out=0x000f00a4
t=19 up=2712 rc=2 r12=0x00000001
t=20 up=2713 rc=2 r12=0x00000001
t=21 up=2715 rc=2 r12=0x00000001
t=22 up=2716 rc=2 r12=0x00000001
t=23 up=2717 rc=2 r12=0x00000001
t=24 up=2718 rc=2 r12=0x00000001
t=25 up=2719 rc=2 r12=0x00000001
t=26 up=2720 rc=2 r12=0x00000001
t=27 up=2721 rc=2 r12=0x00000001
t=28 up=2723 rc=2 r12=0x00000001
t=29 up=2724 rc=2 r12=0x00000001
t=30 up=2725 rc=2 r12=0x00000001
t=31 up=2726 rc=2 r12=0x00000001
t=32 up=2727 rc=2 r12=0x00000001
t=33 up=2728 rc=2 r12=0x00000001
t=34 up=2729 rc=2 r12=0x00000001
t=35 up=2731 rc=2 r12=0x00000001
*** SUSPEND RETURNED: gap=32s at uptime=2763s  rc=3 r12=0x00000001 timer_out=0x000f00a4
t=36 up=2763 rc=3 r12=0x00000001
t=37 up=2764 rc=3 r12=0x00000001
t=38 up=2766 rc=3 r12=0x00000001
t=39 up=2767 rc=3 r12=0x00000001
t=40 up=2768 rc=3 r12=0x00000001
t=41 up=2769 rc=3 r12=0x00000001
t=42 up=2770 rc=3 r12=0x00000001
t=43 up=2771 rc=3 r12=0x00000001
t=44 up=2772 rc=3 r12=0x00000001
t=45 up=2774 rc=3 r12=0x00000001
t=46 up=2775 rc=3 r12=0x00000001
t=47 up=2776 rc=3 r12=0x00000001
t=48 up=2777 rc=3 r12=0x00000001
t=49 up=2778 rc=3 r12=0x00000001
t=50 up=2779 rc=3 r12=0x00000001
t=51 up=2780 rc=3 r12=0x00000001
t=52 up=2782 rc=3 r12=0x00000001
*** SUSPEND RETURNED: gap=31s at uptime=2813s  rc=4 r12=0x00000001 timer_out=0x000f00a4
t=53 up=2813 rc=4 r12=0x00000001
t=54 up=2814 rc=4 r12=0x00000001
t=55 up=2816 rc=4 r12=0x00000001
t=56 up=2817 rc=4 r12=0x00000001
t=57 up=2818 rc=4 r12=0x00000001
t=58 up=2819 rc=4 r12=0x00000001
t=59 up=2820 rc=4 r12=0x00000001
t=60 up=2821 rc=4 r12=0x00000001
t=61 up=2822 rc=4 r12=0x00000001
t=62 up=2824 rc=4 r12=0x00000001
t=63 up=2825 rc=4 r12=0x00000001
t=64 up=2826 rc=4 r12=0x00000001
t=65 up=2827 rc=4 r12=0x00000001
t=66 up=2828 rc=4 r12=0x00000001
t=67 up=2829 rc=4 r12=0x00000001
t=68 up=2830 rc=4 r12=0x00000001
t=69 up=2832 rc=4 r12=0x00000001
*** SUSPEND RETURNED: gap=23s at uptime=2855s  rc=5 r12=0x00000020 timer_out=0x000a5482
t=70 up=2855 rc=5 r12=0x00000020
t=71 up=2857 rc=5 r12=0x00000020
t=72 up=2858 rc=5 r12=0x00000020
t=73 up=2859 rc=5 r12=0x00000020
t=74 up=2860 rc=5 r12=0x00000020
t=75 up=2861 rc=5 r12=0x00000020
t=76 up=2862 rc=5 r12=0x00000020
t=77 up=2864 rc=5 r12=0x00000020
t=78 up=2865 rc=5 r12=0x00000020
t=79 up=2866 rc=5 r12=0x00000020
t=80 up=2867 rc=5 r12=0x00000020
t=81 up=2868 rc=5 r12=0x00000020
t=82 up=2869 rc=5 r12=0x00000020
t=83 up=2870 rc=5 r12=0x00000020
t=84 up=2872 rc=5 r12=0x00000020
